timestamp,src_ip,dst_ip,dst_port,protocol,bytes,latency_ms
2026-03-06 19:31:56.932792187,192.168.1.157,192.168.1.131,8009,OTHER,171,
2026-03-06 19:31:56.951619625,192.168.1.131,192.168.1.157,51176,OTHER,171,
2026-03-06 19:31:56.993448734,192.168.1.157,192.168.1.131,8009,OTHER,54,
2026-03-06 19:31:57.337059498,192.168.1.157,140.82.114.25,443,HTTPS,55,
2026-03-06 19:31:57.449145794,140.82.114.25,192.168.1.157,57460,HTTPS,66,
2026-03-06 19:31:57.731217146,192.168.1.131,224.0.0.251,5353,OTHER,123,
2026-03-06 19:32:01.525971651,192.168.1.157,20.50.73.10,443,HTTPS,66,0.0
2026-03-06 19:32:01.571804047,20.50.73.10,192.168.1.157,60810,HTTPS,66,45.83239555358887
2026-03-06 19:32:01.571892023,192.168.1.157,20.50.73.10,443,HTTPS,54,
2026-03-06 19:32:01.572566986,192.168.1.157,20.50.73.10,443,HTTPS,1894,
2026-03-06 19:32:01.624969482,20.50.73.10,192.168.1.157,60810,HTTPS,54,
2026-03-06 19:32:01.625523567,20.50.73.10,192.168.1.157,60810,HTTPS,153,
2026-03-06 19:32:01.628653526,192.168.1.157,20.50.73.10,443,HTTPS,740,
2026-03-06 19:32:01.679358482,20.50.73.10,192.168.1.157,60810,HTTPS,2958,
2026-03-06 19:32:01.679420471,192.168.1.157,20.50.73.10,443,HTTPS,54,
2026-03-06 19:32:01.679674625,20.50.73.10,192.168.1.157,60810,HTTPS,1506,
2026-03-06 19:32:01.681187391,20.50.73.10,192.168.1.157,60810,HTTPS,1506,
2026-03-06 19:32:01.681220770,192.168.1.157,20.50.73.10,443,HTTPS,54,
2026-03-06 19:32:01.683405399,20.50.73.10,192.168.1.157,60810,HTTPS,611,
2026-03-06 19:32:01.683670282,192.168.1.157,20.50.73.10,443,HTTPS,128,
2026-03-06 19:32:01.683779478,192.168.1.157,20.50.73.10,443,HTTPS,146,
2026-03-06 19:32:01.683927536,192.168.1.157,20.50.73.10,443,HTTPS,847,
2026-03-06 19:32:01.683975697,192.168.1.157,20.50.73.10,443,HTTPS,299,
2026-03-06 19:32:01.684017897,192.168.1.157,20.50.73.10,443,HTTPS,1759,
2026-03-06 19:32:01.684073687,192.168.1.157,20.50.73.10,443,HTTPS,6980,
2026-03-06 19:32:01.728743076,20.50.73.10,192.168.1.157,60810,HTTPS,157,
2026-03-06 19:32:01.728743076,20.50.73.10,192.168.1.157,60810,HTTPS,116,
2026-03-06 19:32:01.728743076,20.50.73.10,192.168.1.157,60810,HTTPS,54,
2026-03-06 19:32:01.728806973,192.168.1.157,20.50.73.10,443,HTTPS,54,
2026-03-06 19:32:01.729036808,192.168.1.157,20.50.73.10,443,HTTPS,85,
2026-03-06 19:32:01.733462572,20.50.73.10,192.168.1.157,60810,HTTPS,85,
2026-03-06 19:32:01.733462572,20.50.73.10,192.168.1.157,60810,HTTPS,54,
2026-03-06 19:32:01.747006178,20.50.73.10,192.168.1.157,60810,HTTPS,325,
2026-03-06 19:32:01.747006178,20.50.73.10,192.168.1.157,60810,HTTPS,54,
2026-03-06 19:32:01.747006178,20.50.73.10,192.168.1.157,60810,HTTPS,54,
2026-03-06 19:32:01.747060061,192.168.1.157,20.50.73.10,443,HTTPS,54,
2026-03-06 19:32:01.770455360,20.50.73.10,192.168.1.157,60810,HTTPS,134,
2026-03-06 19:32:01.810975790,192.168.1.157,20.50.73.10,443,HTTPS,54,
2026-03-06 19:32:01.953061819,192.168.1.157,192.168.1.131,8009,OTHER,171,
2026-03-06 19:32:01.964069128,192.168.1.131,192.168.1.157,51176,OTHER,171,
2026-03-06 19:32:02.004695654,192.168.1.157,192.168.1.131,8009,OTHER,54,
2026-03-06 19:32:03.977641106,3.219.86.3,192.168.1.157,62562,HTTPS,78,
2026-03-06 19:32:03.977641106,3.219.86.3,192.168.1.157,62562,HTTPS,54,
